experiment,model,param_count,prompt,prompt_example,test_count,exact_micro_avg,exact_micro_std,exact_micro_tt,reason,comments
String,google/flan-t5-base,248000000,Uppercase,"Q: Uppercase all of the words in the list.
Uppercase of testis, poplin, io is
A: TESTIS, POPLIN, IO

Q: Uppercase all of the words in the list.
Uppercase of feeler, briery, punks is
A: ",1000.0,0.0008,0.0004,,Uppercase capitalizes all the letters in a word for each word in the word list.,
String,google/flan-t5-base,248000000,Concatenate,"Q: Concatenate the two word lists.
Concatenate of testis, poplin, io and cakile, trip, bextra is 
A: testis, poplin, io, cakile, trip, bextra

Q: Concatenate the two word lists.
Concatenate of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.0009599999999999999,0.0009068627239003707,,Concatenate extends the first word list to include the words in the second word list.,
String,google/flan-t5-base,248000000,Remove First,"Q: Remove the first word in the list.
Remove first of testis, poplin, io is 
A: poplin, io

Q: Remove the first word in the list.
Remove first of feeler, briery, punks is 
A: ",1000.0,0.9944,0.0012198360545581674,,Remove First removes the first word in the word list.,
String,google/flan-t5-base,248000000,WLO,"Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.0,0.0,,"WLO is a word list operation that is the compositional task. It requires the first word list to be uppercased, the second word list to have the first word removed, and one to concatenate the two sub results.",
String,google/flan-t5-base,248000000,WLO + uppercase,"Q: Uppercase all of the words in the list.
Uppercase of testis, poplin, io is
A: TESTIS, POPLIN, IO

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.0008,0.0004,0.8874528478420332,WLO is a word list operation that is the compositional task. We are priming WLO with uppercase because WLO depends on this subtask.,
String,google/flan-t5-base,248000000,WLO + remove first,"Q: Remove the first word in the list.
Remove first of testis, poplin, io is 
A: poplin, io

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.0006000000000000001,0.0004898979485566356,0.9024986849110881,WLO is a word list operation that is the compositional task. We are priming WLO with remove first because WLO depends on this subtask.,
String,google/flan-t5-base,248000000,WLO + concatenate,"Q: Concatenate the two word lists.
Concatenate of testis, poplin, io and cakile, trip, bextra is 
A: testis, poplin, io, cakile, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.0004,0.0004898979485566357,0.9203639134126609,WLO is a word list operation that is the compositional task. We are priming WLO with concatenate because WLO depends on this subtask.,
String,google/flan-t5-base,248000000,WLO + exponentiate,"Q: Exponentiate the number.
4**9 =
A: 262144

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.0,0.0,,WLO is a word list operation that is the compositional task. We are priming WLO with exponentiate to see if the performance stays the same or get worse because this task is not required for WLO.,
String,google/flan-t5-base,248000000,WLO + subtract,"Q: Subtract two numbers.
63 - 11 =
A: 52

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.00016,0.00032,0.943670004880835,WLO is a word list operation that is the compositional task. We are priming WLO with subtraction to see if the performance stays the same or get worse because this task is not required for WLO.,
String,google/flan-t5-base,248000000,WLO + reverse,"Q: Reverse the string.
The reverse of srpukw is
A: wkuprs

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.0002,0.0004,0.943670004880835,WLO is a word list operation that is the compositional task. We are priming WLO with string reverse to see if the performance stays the same or get worse because this task is not required for WLO.,
String,google/flan-t5-large,780000000,Uppercase,"Q: Uppercase all of the words in the list.
Uppercase of testis, poplin, io is
A: TESTIS, POPLIN, IO

Q: Uppercase all of the words in the list.
Uppercase of feeler, briery, punks is
A: ",1000.0,0.001,0.0,,Uppercase capitalizes all the letters in a word for each word in the word list.,
String,google/flan-t5-large,780000000,Concatenate,"Q: Concatenate the two word lists.
Concatenate of testis, poplin, io and cakile, trip, bextra is 
A: testis, poplin, io, cakile, trip, bextra

Q: Concatenate the two word lists.
Concatenate of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.0006000000000000001,0.0004898979485566356,,Concatenate extends the first word list to include the words in the second word list.,
String,google/flan-t5-large,780000000,Remove First,"Q: Remove the first word in the list.
Remove first of testis, poplin, io is 
A: poplin, io

Q: Remove the first word in the list.
Remove first of feeler, briery, punks is 
A: ",1000.0,0.95156,0.03228607130017525,,Remove First removes the first word in the word list.,
String,google/flan-t5-large,780000000,WLO,"Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.001,0.0,,"WLO is a word list operation that is the compositional task. It requires the first word list to be uppercased, the second word list to have the first word removed, and one to concatenate the two sub results.",
String,google/flan-t5-large,780000000,WLO + uppercase,"Q: Uppercase all of the words in the list.
Uppercase of testis, poplin, io is
A: TESTIS, POPLIN, IO

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.001,0.0,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with uppercase because WLO depends on this subtask.,
String,google/flan-t5-large,780000000,WLO + remove first,"Q: Remove the first word in the list.
Remove first of testis, poplin, io is 
A: poplin, io

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.001,0.0,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with remove first because WLO depends on this subtask.,
String,google/flan-t5-large,780000000,WLO + concatenate,"Q: Concatenate the two word lists.
Concatenate of testis, poplin, io and cakile, trip, bextra is 
A: testis, poplin, io, cakile, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.0004,0.0004898979485566357,0.8807941827868859,WLO is a word list operation that is the compositional task. We are priming WLO with concatenate because WLO depends on this subtask.,
String,google/flan-t5-large,780000000,WLO + exponentiate,"Q: Exponentiate the number.
4**9 =
A: 262144

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.001,0.0,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with exponentiate to see if the performance stays the same or get worse because this task is not required for WLO.,
String,google/flan-t5-large,780000000,WLO + subtract,"Q: Subtract two numbers.
63 - 11 =
A: 52

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.001,0.0,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with subtraction to see if the performance stays the same or get worse because this task is not required for WLO.,
String,google/flan-t5-large,780000000,WLO + reverse,"Q: Reverse the string.
The reverse of srpukw is
A: wkuprs

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.001,0.0,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with string reverse to see if the performance stays the same or get worse because this task is not required for WLO.,
String,google/flan-t5-xl,3000000000,Uppercase,"Q: Uppercase all of the words in the list.
Uppercase of testis, poplin, io is
A: TESTIS, POPLIN, IO

Q: Uppercase all of the words in the list.
Uppercase of feeler, briery, punks is
A: ",1000.0,0.00876,0.0028688673723265773,,Uppercase capitalizes all the letters in a word for each word in the word list.,
String,google/flan-t5-xl,3000000000,Concatenate,"Q: Concatenate the two word lists.
Concatenate of testis, poplin, io and cakile, trip, bextra is 
A: testis, poplin, io, cakile, trip, bextra

Q: Concatenate the two word lists.
Concatenate of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.0041600000000000005,0.0012224565431948901,,Concatenate extends the first word list to include the words in the second word list.,
String,google/flan-t5-xl,3000000000,Remove First,"Q: Remove the first word in the list.
Remove first of testis, poplin, io is 
A: poplin, io

Q: Remove the first word in the list.
Remove first of feeler, briery, punks is 
A: ",1000.0,0.99412,0.002296432015105175,,Remove First removes the first word in the word list.,
String,google/flan-t5-xl,3000000000,WLO,"Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.001,0.0,,"WLO is a word list operation that is the compositional task. It requires the first word list to be uppercased, the second word list to have the first word removed, and one to concatenate the two sub results.",
String,google/flan-t5-xl,3000000000,WLO + uppercase,"Q: Uppercase all of the words in the list.
Uppercase of testis, poplin, io is
A: TESTIS, POPLIN, IO

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.001,0.0,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with uppercase because WLO depends on this subtask.,
String,google/flan-t5-xl,3000000000,WLO + remove first,"Q: Remove the first word in the list.
Remove first of testis, poplin, io is 
A: poplin, io

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.001,0.0,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with remove first because WLO depends on this subtask.,
String,google/flan-t5-xl,3000000000,WLO + concatenate,"Q: Concatenate the two word lists.
Concatenate of testis, poplin, io and cakile, trip, bextra is 
A: testis, poplin, io, cakile, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.001,0.0,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with concatenate because WLO depends on this subtask.,
String,google/flan-t5-xl,3000000000,WLO + exponentiate,"Q: Exponentiate the number.
4**9 =
A: 262144

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.001,0.0,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with exponentiate to see if the performance stays the same or get worse because this task is not required for WLO.,
String,google/flan-t5-xl,3000000000,WLO + subtract,"Q: Subtract two numbers.
63 - 11 =
A: 52

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.001,0.0,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with subtraction to see if the performance stays the same or get worse because this task is not required for WLO.,
String,google/flan-t5-xl,3000000000,WLO + reverse,"Q: Reverse the string.
The reverse of srpukw is
A: wkuprs

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.001,0.0,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with string reverse to see if the performance stays the same or get worse because this task is not required for WLO.,
String,google/flan-t5-xxl,11000000000,Uppercase,"Q: Uppercase all of the words in the list.
Uppercase of testis, poplin, io is
A: TESTIS, POPLIN, IO

Q: Uppercase all of the words in the list.
Uppercase of feeler, briery, punks is
A: ",1000.0,0.01912,0.003774864235969288,,Uppercase capitalizes all the letters in a word for each word in the word list.,
String,google/flan-t5-xxl,11000000000,Concatenate,"Q: Concatenate the two word lists.
Concatenate of testis, poplin, io and cakile, trip, bextra is 
A: testis, poplin, io, cakile, trip, bextra

Q: Concatenate the two word lists.
Concatenate of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.017240000000000002,0.006118038901478153,,Concatenate extends the first word list to include the words in the second word list.,
String,google/flan-t5-xxl,11000000000,Remove First,"Q: Remove the first word in the list.
Remove first of testis, poplin, io is 
A: poplin, io

Q: Remove the first word in the list.
Remove first of feeler, briery, punks is 
A: ",1000.0,0.90808,0.02342975885492635,,Remove First removes the first word in the word list.,
String,google/flan-t5-xxl,11000000000,WLO,"Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.001,0.0,,"WLO is a word list operation that is the compositional task. It requires the first word list to be uppercased, the second word list to have the first word removed, and one to concatenate the two sub results.",
String,google/flan-t5-xxl,11000000000,WLO + uppercase,"Q: Uppercase all of the words in the list.
Uppercase of testis, poplin, io is
A: TESTIS, POPLIN, IO

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.001,0.0,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with uppercase because WLO depends on this subtask.,
String,google/flan-t5-xxl,11000000000,WLO + remove first,"Q: Remove the first word in the list.
Remove first of testis, poplin, io is 
A: poplin, io

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.001,0.0,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with remove first because WLO depends on this subtask.,
String,google/flan-t5-xxl,11000000000,WLO + concatenate,"Q: Concatenate the two word lists.
Concatenate of testis, poplin, io and cakile, trip, bextra is 
A: testis, poplin, io, cakile, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.001,0.0,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with concatenate because WLO depends on this subtask.,
String,google/flan-t5-xxl,11000000000,WLO + exponentiate,"Q: Exponentiate the number.
4**9 =
A: 262144

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.001,0.0,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with exponentiate to see if the performance stays the same or get worse because this task is not required for WLO.,
String,google/flan-t5-xxl,11000000000,WLO + subtract,"Q: Subtract two numbers.
63 - 11 =
A: 52

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of testis, poplin, io and cakile, trip, bextra is 
A: TESTIS, POPLIN, IO, trip, bextra

Q: WLO the two word lists. WLO uses these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
WLO of feeler, briery, punks and jell-o, dekko, unmown is 
A: ",1000.0,0.001,0.0,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with subtraction to see if the performance stays the same or get worse because this task is not required for WLO.,
